Date Raw;Date Parsed;SLP Burned;SLP Minted
1591228800000;06/03/2020;31200;57245
1591315200000;06/04/2020;20600;88217
1591401600000;06/05/2020;15600;55780
1591488000000;06/06/2020;13700;31925
1591574400000;06/07/2020;18700;36891
1591660800000;06/08/2020;12200;21550
1591747200000;06/09/2020;3500;64810
1591833600000;06/10/2020;12600;33061
1591920000000;06/11/2020;25300;34720
1592006400000;06/12/2020;58100;86118
1592092800000;06/13/2020;58700;64038
1592179200000;06/14/2020;5900;19045
1592265600000;06/15/2020;5700;12141
1592352000000;06/16/2020;12600;27034
1592438400000;06/17/2020;25100;21055
1592524800000;06/18/2020;41100;25083
1592611200000;06/19/2020;54800;177090
1592697600000;06/20/2020;43300;123014
1592784000000;06/21/2020;17100;15267
1592870400000;06/22/2020;5900;23242
1592956800000;06/23/2020;1600;11345
1593043200000;06/24/2020;45600;32802
1593129600000;06/25/2020;22200;47991
1593216000000;06/26/2020;17500;41352
1593302400000;06/27/2020;16000;23529
1593388800000;06/28/2020;27100;17312
1593475200000;06/29/2020;31500;67194
1593561600000;06/30/2020;25300;32682
1593648000000;07/01/2020;10100;42354
1593734400000;07/02/2020;6900;25600
1593820800000;07/03/2020;30700;85363
1593907200000;07/04/2020;39200;125874
1593993600000;07/05/2020;23500;598666
1594080000000;07/06/2020;6800;383346
1594166400000;07/07/2020;1000;312510
1594252800000;07/08/2020;3500;166197
1594339200000;07/09/2020;3100;133301
1594425600000;07/10/2020;1900;104878
1594512000000;07/11/2020;13800;85682
1594598400000;07/12/2020;8600;54160
1594684800000;07/13/2020;12800;79660
1594771200000;07/14/2020;7900;54202
1594857600000;07/15/2020;17600;78117
1594944000000;07/16/2020;12900;108944
1595030400000;07/17/2020;10800;82470
1595116800000;07/18/2020;7500;56851
1595203200000;07/19/2020;9500;31790
1595289600000;07/20/2020;21700;66906
1595376000000;07/21/2020;30200;133862
1595462400000;07/22/2020;22600;100755
1595548800000;07/23/2020;7100;64543
1595635200000;07/24/2020;10600;111047
1595721600000;07/25/2020;15300;139341
1595808000000;07/26/2020;5700;80746
1595894400000;07/27/2020;15100;289403
1595980800000;07/28/2020;43800;87139
1596067200000;07/29/2020;26200;22465
1596153600000;07/30/2020;7200;51540
1596240000000;07/31/2020;16300;81505
1596326400000;08/01/2020;22500;301174
1596412800000;08/02/2020;8400;252421
1596499200000;08/03/2020;12100;268213
1596585600000;08/04/2020;14900;310609
1596672000000;08/05/2020;4300;257700
1596758400000;08/06/2020;500;237818
1596844800000;08/07/2020;2900;170041
1596931200000;08/08/2020;1500;226284
1597017600000;08/09/2020;1700;250189
1597104000000;08/10/2020;0;259270
1597190400000;08/11/2020;0;16553
1597276800000;08/12/2020;0;85032
1597363200000;08/13/2020;0;102441
1597449600000;08/14/2020;2600;193103
1597536000000;08/15/2020;2700;208619
1597622400000;08/16/2020;3400;167848
1597708800000;08/17/2020;1300;140527
1597795200000;08/18/2020;1900;98046
1597881600000;08/19/2020;800;183108
1597968000000;08/20/2020;0;98148
1598054400000;08/21/2020;11200;298222
1598140800000;08/22/2020;8500;243415
1598227200000;08/23/2020;23000;244833
1598313600000;08/24/2020;11600;112021
1598400000000;08/25/2020;13300;135046
1598486400000;08/26/2020;11100;165803
1598572800000;08/27/2020;10300;466724
1598659200000;08/28/2020;2600;267110
1598745600000;08/29/2020;1400;127913
1598832000000;08/30/2020;0;441278
